348	0	2478
1691	1	2479
478	0	2480
478	0	2481
1465	2	2482
2483	0	2484
2485	0	2486
2487	0	2488
2489	3	2490
2491	0	2492
1080	0	2493
1080	0	2494
2495	4	2496
799	5	2497
215	6	2498
2499	0	2500
1493	7	2501
2116	8	2502
2503	0	2504
999	0	2505
1936	0	2506
2507	0	2508
1116	0	2509
1116	7	2501
2510	0	2511
2510	9	2512
1542	0	2513
1169	5	2514
2515	0	2516
1474	7	2501
2517	0	2518
2261	6	2519
759	0	2520
294	8	2521
1521	4	2522
2523	4	2524
2525	10	2526
2527	0	2528
2527	0	2529
871	0	2530
2531	11	2532
385	12	2533
2534	0	2535
2536	0	2537
1481	0	2538
1328	0	2539
1170	0	2540
2541	0	2542
2541	0	2543
1895	6	2544
2107	0	2545
2389	0	2546
457	7	2547
2548	0	2549
819	4	2522
1086	13	2550
1053	0	2551
1136	4	2522
2552	0	2553
1541	0	2554
2179	0	2555
2556	0	2557
789	12	2558
2559	14	2560
1688	0	2561
2562	0	2563
229	0	2564
1334	0	2565
2566	0	2567
604	0	2568
1460	14	2560
2569	13	2570
2571	0	2572
2066	4	2573
2574	11	2575
1799	5	2576
2243	2	2577
2238	12	2578
411	14	2579
2139	1	2580
168	0	2581
87	7	2501
137	0	2582
2583	11	2584
2585	9	2586
2587	0	2588
2589	0	2590
261	2	2591
1478	2	2592
2593	11	2594
786	0	2595
1343	15	2596
2597	5	2598
2599	0	2600
4	7	2501
2601	5	2602
2603	5	2604
316	0	2605
316	0	2606
158	0	2607
957	3	2608
1735	0	2609
591	5	2610
2611	0	2612
2307	0	2613
2614	10	2615
2052	0	2616
2617	0	2618
1830	0	2619
1830	0	2620
1255	0	2621
186	0	2622
186	0	2623
718	0	2624
794	0	2625
2626	4	2522
2249	0	2627
813	0	2628
341	0	2629
2247	0	2630
1140	16	2631
142	7	2501
2632	7	2501
225	11	2633
1042	0	2634
1483	0	2635
2173	0	2636
2637	8	2638
193	4	2522
1792	0	2639
939	6	2640
2641	0	2642
1623	3	2643
1111	0	2644
2645	0	2646
2647	0	2648
2649	0	2650
2038	0	2651
2652	0	2653
2654	7	2655
421	0	2656
2657	0	2658
2659	0	2660
1538	0	2661
2662	13	2630
51	13	2663
2664	0	2665
1416	14	2560
1495	3	2666
349	0	2667
2668	14	2560
2669	0	2670
1269	4	2671
1263	0	2672
650	0	2673
2674	0	2675
2676	0	2677
1932	4	2678
833	0	2679
1806	0	2680
574	9	2681
2682	8	2683
2684	13	2685
948	0	2686
2217	3	2687
2688	6	2689
2445	11	2690
2691	0	2692
2691	9	2693
2001	0	2694
725	0	2695
236	0	2696
362	2	2697
2698	11	2511
590	0	2568
1712	0	2699
2700	0	2701
1498	10	2702
2703	0	2704
2705	0	2706
2707	0	2708
2216	15	2709
2424	0	2710
815	14	2560
359	0	2711
903	0	2712
1138	0	2713
1905	5	2714
1099	6	2715
669	0	2716
2717	0	2718
2717	0	2719
1256	4	2720
2721	8	2722
2723	12	2724
1662	3	2725
1662	8	2726
17	0	2727
756	0	2728
2729	7	2730
1999	4	2731
2732	0	2733
872	12	2734
1155	3	2735
243	0	2736
2737	7	2738
514	5	2739
1341	0	2740
2133	8	2741
372	16	2631
2742	14	2560
2743	8	2744
2745	0	2746
2745	0	2747
1930	0	2748
2749	0	2750
2751	9	2752
2753	0	2754
2755	0	2756
1608	0	2757
2040	0	2758
2077	0	2759
1865	0	2760
1736	0	2761
2762	0	2763
554	0	2764
2765	0	2766
743	13	2767
1243	0	2768
1889	0	2769
2150	0	2770
921	4	2496
176	0	2771
1622	5	2772
1451	0	2773
1451	0	2774
2775	0	2776
2775	11	2777
2778	0	2779
234	0	2780
588	0	2781
2782	0	2783
9	13	2784
2335	0	2785
2251	0	2786
2787	5	2788
2789	8	2790
2117	0	2791
1363	0	2792
482	0	2793
1382	0	2794
2795	4	2796
2797	0	2798
507	0	2799
101	0	2800
2801	0	2802
1647	16	2803
2804	0	2805
2806	2	2807
953	0	2808
953	0	2809
2214	0	2810
2214	14	2560
2476	5	2811
450	0	2812
450	0	2813
2814	0	2815
1283	0	2816
37	0	2817
2818	0	2819
370	0	2820
2821	4	2671
788	4	2822
2823	0	2824
2825	4	2671
2234	7	2501
2826	0	2827
2123	0	2828
847	0	2829
593	0	2830
2831	0	2832
8	14	2833
1871	15	2834
2035	15	2835
2836	11	2837
366	8	2838
2839	0	2840
602	0	2841
887	4	2522
2842	0	2843
1152	0	2844
1152	0	2845
755	0	2846
350	0	2847
2848	0	2849
505	0	2850
291	0	2851
906	0	2852
2302	0	2853
2854	11	2855
2856	0	2857
1629	0	2858
2859	0	2860
2294	0	2861
940	0	2862
874	11	2863
874	12	2864
1862	0	2865
1332	0	2866
1332	1	2867
595	0	2868
2869	0	2870
2871	0	2872
641	0	2873
910	0	2874
636	0	2677
2875	0	2876
2877	14	2878
1239	0	2879
938	0	2880
2284	0	2881
1505	0	2882
2883	0	2884
2885	0	2886
1850	14	2560
2887	0	2888
1232	7	2501
2889	0	2890
1653	0	2891
974	16	2631
2892	0	2893
1805	0	2894
1045	8	2895
1650	16	2631
2896	0	2897
1362	8	2898
1908	15	2899
2063	3	2900
1380	3	2901
2127	4	2902
46	0	2903
1183	9	2904
2905	0	2906
700	0	2907
1909	14	2560
2908	0	2909
2908	6	2910
1014	0	2911
1666	11	2912
1888	7	2913
2914	10	2915
2400	15	2916
2917	15	2918
2917	16	2919
2920	8	2921
2920	5	2922
317	0	2923
699	0	2924
1576	5	2925
2926	3	2927
2928	0	2929
1977	14	2560
1134	4	2671
1134	16	2631
442	4	2930
1513	0	2931
1477	0	2932
694	0	2933
96	0	2934
2935	0	2936
572	0	2937
1517	0	2938
2939	0	2940
2941	0	2942
2943	0	2944
69	9	2945
2946	3	2947
409	0	2948
1175	3	2949
1476	13	2950
1109	0	2951
1109	0	2952
61	0	2953
61	7	2501
2954	0	2955
2956	8	2957
1639	0	2958
2959	0	2960
2961	13	2962
864	0	2963
864	15	2964
864	16	2803
160	5	2965
1293	0	2966
2967	0	2968
83	0	2969
513	4	2970
827	16	2631
2971	0	2972
2971	3	2973
172	0	2974
2975	4	2671
2976	0	2977
2976	8	2978
302	13	2979
416	0	2980
2114	0	2981
2982	5	2983
1233	13	2966
1603	4	2522
2120	0	2984
2120	0	2985
2986	0	2987
808	0	2988
2989	0	2990
2989	6	2991
2989	4	2902
1926	0	2992
525	8	2993
2100	5	2994
2258	2	2995
1761	0	2996
2239	0	2997
1661	3	2998
980	0	2999
804	4	2731
3000	0	3001
245	2	3002
1989	14	2560
1989	8	3003
1970	0	3004
3005	5	3006
3007	0	3008
2266	5	3009
1981	0	3010
535	0	3011
326	0	3012
3013	0	3014
2241	0	3015
3016	0	3017
283	7	2501
1108	14	2560
1901	0	3018
3019	0	3020
787	0	3021
1569	0	3022
3023	6	3024
3025	0	3026
3027	15	3028
1187	6	3029
1187	4	3030
62	15	3031
2414	11	3032
1372	15	3033
1054	0	3034
1268	17	3035
770	0	3036
3037	8	3038
26	0	3039
26	0	3040
1797	2	2995
865	0	3041
865	0	3042
1298	2	3043
1510	2	3002
1665	0	3044
72	0	3045
1984	0	3046
1984	0	3047
3048	14	2560
2004	0	3049
1252	0	3050
155	11	3051
2086	0	3052
589	0	3053
1529	0	3054
1496	11	3055
2361	5	3056
1385	8	3057
1443	0	3058
1443	3	3059
1974	0	3060
1758	8	3061
3062	5	3063
3064	0	3065
3066	0	3067
3068	0	3069
3070	0	3071
249	0	3072
1077	0	3073
1077	5	3074
3075	0	3076
912	8	3077
3078	0	3079
2394	15	3080
141	0	3081
